ID,Nombre,Entidad,Correo electrónico,Partido,Escolaridad,Propuestas_Adherente,Propuestas aprobadas_Adherente,Propuestas_Diversos Grupos Parlamentarios,Propuestas aprobadas_Diversos Grupos Parlamentarios,Propuestas_De Grupo,Propuestas aprobadas_De Grupo,Propuestas_TOTAL,Propuestas aprobadas_TOTAL,Propuestas_Iniciante,Propuestas aprobadas_Iniciante,Propuestas_Proponente,Propuestas aprobadas_Proponente
108660426924598964168282977978799944005,José Guadalupe Aguilera Rojas,Michoacán ,josegpe.aguilera@diputados.gob.mx ,Sin Partido,Sin estudios registrados,18.0,1.0,3.0,0.0,107.0,10.0,141,12,13.0,1.0,0.0,0.0
316558140623983665821432494912694776166,Aleida Alavez Ruiz,Ciudad de México ,aleida.alavez@diputados.gob.mx ,Morena,Licenciatura,1.0,0.0,3.0,1.0,27.0,14.0,42,16,11.0,1.0,0.0,0.0
12399743805460343345696221434850187823,Abril Alcalá Padilla,Jalisco ,abril.alcala@diputados.gob.mx ,Sin Partido,Doctorado,10.0,3.0,8.0,0.0,104.0,10.0,154,14,32.0,1.0,0.0,0.0
299113336371969182840509422904170106998,Jesús Sergio Alcántara Núñez,México ,jesus.alcantara@diputados.gob.mx ,PRI,Doctorado,16.0,3.0,92.0,28.0,34.0,3.0,145,34,3.0,0.0,0.0,0.0
230122059856535196583145008103561575441,Luis Javier Alegre Salazar,Quintana Roo ,luis.alegre@diputados.gob.mx ,Morena,Licenciatura,2.0,0.0,1.0,0.0,27.0,14.0,45,19,15.0,5.0,0.0,0.0
147839391651222627164164531171268247995,Maximino Alejandro Candelaria,Ciudad de México ,maximino.alejandro@diputados.gob.mx ,Morena,Licenciatura,16.0,3.0,1.0,0.0,27.0,14.0,52,18,8.0,1.0,0.0,0.0
24425924840855725787315640791222176656,Nohemí Alemán Hernández,Tamaulipas ,nohemi.aleman@diputados.gob.mx ,Morena,Maestría,119.0,16.0,10.0,1.0,42.0,6.0,203,24,32.0,1.0,0.0,0.0
139169275725203780341941915404647605406,María Alemán Muñoz Castillo,Querétaro ,aleman.munoz@diputados.gob.mx ,PRI,Maestría,45.0,8.0,2.0,0.0,9.0,0.0,82,13,26.0,5.0,0.0,0.0
161671267327886275819470899066686001532,María Isabel Alfaro Morales,Hidalgo ,maria.alfaro@diputados.gob.mx ,Morena,Bachillerato,11.0,1.0,6.0,2.0,27.0,14.0,51,18,7.0,1.0,0.0,0.0
146452308822690442212524886986609804332,Ma. Guadalupe Almaguer Pardo,San Luis Potosí ,guadalupe.almaguer@diputados.gob.mx ,Sin Partido,Sin estudios registrados,12.0,1.0,13.0,6.0,106.0,10.0,155,19,24.0,2.0,0.0,0.0
103466506688300440688315670754688731951,Karla Yuritzi Almazán Burgos,México ,karla.almazan@diputados.gob.mx ,Morena,Licenciatura,10.0,2.0,1.0,0.0,27.0,14.0,42,17,4.0,1.0,0.0,0.0
294332334910352509347352570327073437088,Mónica Almeida López,Jalisco ,monica.almeida@diputados.gob.mx ,Sin Partido,Doctorado,10.0,1.0,8.0,0.0,105.0,10.0,172,15,49.0,4.0,0.0,0.0
123765797128655861563215578557634045689,María Del Carmen Almeida Navarro,Chihuahua ,carmen.almeida@diputados.gob.mx ,Morena,Licenciatura,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3.0,1.0,0.0,0.0
293084772629670019272946059884920717702,María Ester Alonzo Morales,Yucatán ,maria.alonzo@diputados.gob.mx ,PRI,Licenciatura,63.0,11.0,9.0,4.0,9.0,0.0,93,20,12.0,5.0,0.0,0.0
319692786922229416066695955769073047795,María Guillermina Alvarado Moreno,Nuevo León ,maria.alvarado@diputados.gob.mx ,Morena,Maestría,25.0,5.0,3.0,0.0,27.0,14.0,62,21,7.0,2.0,0.0,0.0
3879431674481575794981775430348372415,Ivonne Liliana Álvarez García,Nuevo León ,ivonne.alvarez@diputados.gob.mx ,PRI,Licenciatura,22.0,6.0,2.0,0.0,10.0,0.0,47,10,13.0,4.0,0.0,0.0
263451233656072981865639525773286080502,José Guadalupe Ambrocio Gachuz,Morelos ,jose.ambrocio@diputados.gob.mx ,Morena,Licenciatura,6.0,0.0,0.0,0.0,27.0,14.0,45,15,12.0,1.0,0.0,0.0
176322871686194518222127121026147629259,Socorro Irma Andazola Gómez,Baja California ,socorro.andazola@diputados.gob.mx ,Morena,Licenciatura,4.0,1.0,4.0,2.0,27.0,14.0,58,20,23.0,3.0,0.0,0.0
113800645014082303577634121375200827912,Marco Antonio Andrade Zavala,Chiapas ,antonio.andrade@diputados.gob.mx ,Morena,Maestría,6.0,0.0,0.0,0.0,27.0,14.0,41,17,8.0,3.0,0.0,0.0
271480176502766308140108130325835836377,Julio César Angeles Mendoza,Hidalgo ,julio.angeles@diputados.gob.mx ,Morena,Sin estudios registrados,8.0,3.0,0.0,0.0,27.0,14.0,38,17,3.0,0.0,0.0,0.0
25074770318082869641767441243163484835,Pablo Guillermo Angulo Briceño,Campeche ,pablo.angulo@diputados.gob.mx ,PRI,Maestría,28.0,2.0,1.0,0.0,8.0,0.0,51,4,14.0,2.0,0.0,0.0
191328438706297124785873480587778924474,Carol Antonio Altamirano,Oaxaca ,carol.antonio@diputados.gob.mx ,Morena,Licenciatura,1.0,0.0,0.0,0.0,27.0,14.0,38,19,10.0,5.0,0.0,0.0
18226273806256270370402357670426083241,Edgar Eduardo Arenas Madrigal,México ,edgar.arenas@diputados.gob.mx ,Morena,Sin estudios registrados,0.0,0.0,0.0,0.0,16.0,5.0,25,5,9.0,0.0,0.0,0.0
320665868665858193650038598699343541459,Jorge Arturo Argüelles Victorero,Morelos ,jorge.arguelles@diputados.gob.mx ,Sin Partido,Licenciatura,12.0,3.0,12.0,10.0,10.0,1.0,52,17,18.0,3.0,0.0,0.0
114850520300722163429035665200520127879,Justino Eugenio Arriaga Rojas,Guanajuato ,justino.arriaga@diputados.gob.mx ,PAN,Maestría,119.0,17.0,7.0,2.0,38.0,4.0,175,23,11.0,0.0,0.0,0.0
194617437189427801297583533809680203511,Eleuterio Arrieta Sánchez,Veracruz ,eleuterio.arrieta@diputados.gob.mx ,Morena,Maestría,6.0,1.0,0.0,0.0,27.0,14.0,34,15,1.0,0.0,0.0,0.0
37642063896571539577305597405009623235,Felipe Rafael Arvizu De la Luz,México ,felipe.arvizu@diputados.gob.mx ,Morena,Licenciatura,10.0,1.0,2.0,0.0,27.0,14.0,46,17,7.0,2.0,0.0,0.0
227546996498426719005989261952228610842,José Guillermo Aréchiga Santamaría,Puebla ,jose.arechiga@diputados.gob.mx ,Morena,Sin estudios registrados,5.0,2.0,1.0,0.0,16.0,11.0,26,13,4.0,0.0,0.0,0.0
332085054763396765948181911217331486953,Sergio Fernando Ascencio Barba,Guanajuato ,sergio.ascencio@diputados.gob.mx ,PAN,Maestría,97.0,14.0,11.0,1.0,38.0,4.0,155,21,9.0,2.0,0.0,0.0
182510794454875081755717239241883089019,Reyna Celeste Ascencio Ortega,Michoacán ,reyna.ascencio@diputados.gob.mx ,Morena,Licenciatura,2.0,0.0,8.0,2.0,27.0,14.0,82,21,45.0,5.0,0.0,0.0
85994668022321630291672881047366322825,Karen Ivette Audiffred Fernández,Ciudad de México ,karen.audiffred@diputados.gob.mx ,Morena,Sin estudios registrados,3.0,0.0,1.0,0.0,11.0,3.0,15,3,0.0,0.0,0.0,0.0
8430057730229061453987424899481043642,Laura Patricia Avalos Magaña,Tabasco ,laura.avalos@diputados.gob.mx ,Morena,Licenciatura,6.0,1.0,3.0,2.0,27.0,14.0,38,18,2.0,1.0,0.0,0.0
134500759389126752874545103343554955915,Mildred Concepción Avila Vera,Quintana Roo ,mildred.avila@diputados.gob.mx ,Morena,Licenciatura,7.0,0.0,11.0,4.0,27.0,14.0,59,22,14.0,4.0,0.0,0.0
129807395297688892979992202137790859494,Carlos Iván Ayala Bobadilla,Sinaloa ,carlosivan.ayala@diputados.gob.mx ,Morena,Licenciatura,14.0,3.0,4.0,2.0,16.0,5.0,55,14,21.0,4.0,0.0,0.0
255108707716307210111047980613680232191,Ma. de los Ángeles Ayala Díaz,Guanajuato ,madelosangeles.ayala@diputados.gob.mx ,PAN,Maestría,109.0,15.0,11.0,1.0,41.0,4.0,194,23,33.0,3.0,0.0,0.0
144868900171137922741525355910483876338,Frinné Azuara Yarzábal,San Luis Potosí ,frinne.azuara@diputados.gob.mx ,PRI,Maestría,51.0,8.0,3.0,0.0,9.0,0.0,75,9,12.0,1.0,0.0,0.0
256725592151607328211418564793767897561,Xavier Azuara Zúñiga,San Luis Potosí ,xavier.azuara@diputados.gob.mx ,PAN,Licenciatura,113.0,15.0,15.0,4.0,35.0,4.0,170,24,7.0,1.0,0.0,0.0
257786448413208539838356062650428053289,Cuauhtli Fernando Badillo Moreno,San Luis Potosí ,cuauhtli.badillo@diputados.gob.mx ,Morena,Licenciatura,7.0,1.0,1.0,0.0,27.0,14.0,57,17,22.0,2.0,0.0,0.0
295253711811462040504888086463815384180,Socorro Bahena Jiménez,México ,socorro.bahena@diputados.gob.mx ,Morena,Secundaria,15.0,3.0,7.0,4.0,27.0,14.0,51,21,2.0,0.0,0.0,0.0
222083734896765022914398751871356307962,Manuel de Jesus Baldenebro Arredondo,Sonora ,manuel.baldenebro@diputados.gob.mx ,Sin Partido,Licenciatura,11.0,1.0,0.0,0.0,10.0,1.0,63,12,42.0,10.0,0.0,0.0
299392304167775970433823236162473003492,Esteban Barajas Barajas,Michoacán ,esteban.barajas@diputados.gob.mx ,Morena,Licenciatura,4.0,0.0,2.0,0.0,27.0,14.0,34,14,1.0,0.0,0.0,0.0
249908597407118536094246439899048393619,Laura Barrera Fortoul,México ,laura.barrera@diputados.gob.mx ,PRI,Maestría,53.0,8.0,6.0,2.0,10.0,0.0,83,14,14.0,4.0,0.0,0.0
65443313518722005680723128994110493274,Alejandro Barroso Chávez,Puebla ,alejandro.barroso@diputados.gob.mx ,PT,Licenciatura,4.0,0.0,0.0,0.0,22.0,12.0,30,12,4.0,0.0,0.0,0.0
238708336828636826939362359673198861383,Juan Angel Bautista Bravo,México ,juan.bautista@diputados.gob.mx ,Morena,Maestría,2.0,0.0,0.0,0.0,27.0,14.0,37,15,8.0,1.0,0.0,0.0
234082238753164030456887581593025985671,Maria del Carmen Bautista Peláez,Oaxaca ,maria.bautista@diputados.gob.mx ,Morena,Sin estudios registrados,5.0,0.0,4.0,2.0,27.0,14.0,46,18,10.0,2.0,0.0,0.0
90873380492191464350809474608740981961,David Bautista Rivera,Puebla ,david.bautista@diputados.gob.mx ,Morena,Licenciatura,9.0,2.0,0.0,0.0,27.0,14.0,84,17,48.0,1.0,0.0,0.0
111796473760807553441898959323939559989,Mónica Bautista Rodríguez,México ,monica.bautista@diputados.gob.mx ,Sin Partido,Sin estudios registrados,13.0,0.0,9.0,3.0,105.0,10.0,143,14,16.0,1.0,0.0,0.0
64832421111962851165257195331241147794,Oscar Bautista Villegas,San Luis Potosí ,oscar.bautista@diputados.gob.mx ,PRI,Maestría,12.0,2.0,93.0,29.0,34.0,3.0,143,35,4.0,1.0,0.0,0.0
197999839785847018968071696285999030480,Rosa María Bayardo Cabrera,Colima ,rosa.bayardo@diputados.gob.mx ,Morena,Licenciatura,1.0,0.0,3.0,0.0,16.0,5.0,30,6,10.0,1.0,0.0,0.0
162032631627346132288751745018959451125,Ana Laura Bernal Camarena,Sonora ,ana.bernal@diputados.gob.mx ,PT,Sin estudios registrados,4.0,1.0,2.0,0.0,16.0,2.0,61,9,39.0,6.0,0.0,0.0
310492505450130547597060222508209432136,Mary Carmen Bernal Martínez,Michoacán ,mary.bernal@diputados.gob.mx ,PT,Licenciatura,8.0,0.0,2.0,0.0,21.0,2.0,61,4,30.0,2.0,0.0,0.0
69735310762604950629740315390674139219,Víctor Blas López,Oaxaca ,victor.blas@diputados.gob.mx ,Morena,Sin estudios registrados,1.0,0.0,0.0,0.0,27.0,14.0,30,15,2.0,1.0,0.0,0.0
169389003834698761883194406372972997941,Raúl Eduardo Bonifaz Moedano,Chiapas ,raul.bonifaz@diputados.gob.mx ,Morena,Sin estudios registrados,4.0,1.0,3.0,2.0,18.0,6.0,61,17,36.0,8.0,0.0,0.0
218983400205553191882187421214633733351,Raquel Bonilla Herrera,Veracruz ,raquel.bonilla@diputados.gob.mx ,Morena,Bachillerato,9.0,2.0,1.0,0.0,27.0,14.0,55,18,18.0,2.0,0.0,0.0
279798587226286365791662178684087210438,Madeleine Bonnafoux Alcaraz,Sonora ,madeleine.bonnafoux@diputados.gob.mx ,PAN,Licenciatura,135.0,18.0,16.0,4.0,35.0,4.0,219,28,33.0,2.0,0.0,0.0
168734328362497345506514957194648938658,Francisco Javier Borrego Adame,Coahuila ,francisco.borrego@diputados.gob.mx ,Morena,Bachillerato,1.0,0.0,4.0,2.0,27.0,14.0,42,18,10.0,2.0,0.0,0.0
88994139107002023323372752897523476635,Itzcóatl Tonatiuh Bravo Padilla,Jalisco ,tonatiuhb@diputados.gob.mx ,Sin Partido,Maestría,9.0,4.0,22.0,16.0,31.0,3.0,68,25,6.0,2.0,0.0,0.0
288794784571054171366913328523702083288,María Wendy Briceño Zuloaga,Sonora ,maria.briceno@diputados.gob.mx ,Morena,Maestría,2.0,1.0,17.0,7.0,27.0,14.0,70,25,24.0,3.0,0.0,0.0
67669002701733332604429736213075604254,Irasema del Carmen Buenfil Díaz,Campeche ,irasema.buenfil@diputados.gob.mx ,Sin Partido,Licenciatura,6.0,0.0,0.0,0.0,9.0,1.0,23,3,8.0,2.0,0.0,0.0
279516849181328151696264892025250708352,Eugenio Bueno Lozano,Nuevo León ,eugenio.bueno@diputados.gob.mx ,PAN,Licenciatura,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0
151894461732394204797439323891209958058,Lyndiana Elizabeth Bugarín Cortés,Zacatecas ,lyndiana.bugarin@diputados.gob.mx ,Partido Verde,Licenciatura,6.0,3.0,129.0,34.0,30.0,3.0,166,40,1.0,0.0,0.0,0.0
69234196324112876091792830922837767502,Teresa Burelo Cortazar,Tabasco ,teresa.burelo@diputados.gob.mx ,Morena,Bachillerato,1.0,0.0,0.0,0.0,27.0,14.0,29,15,1.0,1.0,0.0,0.0
98790146472824508291572545458137424266,Claudia Báez Ruiz,Puebla ,claudia.baez@diputados.gob.mx ,Sin Partido,Licenciatura,17.0,2.0,1.0,0.0,10.0,1.0,43,7,15.0,4.0,0.0,0.0
270976634005019126018449197748623375898,Ma. del Carmen Cabrera Lagunas,Guerrero ,madelcarmen.cabrera@diputados.gob.mx ,Sin Partido,Licenciatura,24.0,3.0,4.0,2.0,10.0,1.0,59,11,21.0,5.0,0.0,0.0
277518974944782236439002075735770428988,Samuel Calderón Medina,Morelos ,samuel.calderon@diputados.gob.mx ,Sin Partido,Licenciatura,5.0,0.0,0.0,0.0,16.0,11.0,22,11,1.0,0.0,0.0,0.0
131112227472063347945138312029089482537,Rodrigo Calderón Salas,Veracruz ,rodrigo.calderon@diputados.gob.mx ,Morena,Bachillerato,9.0,0.0,0.0,0.0,27.0,14.0,40,14,4.0,0.0,0.0,0.0
244253616846059789659422272573614901271,Gustavo Callejas Romero,Hidalgo ,gustavo.callejas@diputados.gob.mx ,Morena,Bachillerato,2.0,0.0,0.0,0.0,11.0,3.0,22,4,9.0,1.0,0.0,0.0
331949107415529242528176141437822722219,José Ramón Cambero Pérez,Nayarit ,jose.cambero@diputados.gob.mx ,PAN,Sin estudios registrados,99.0,13.0,12.0,1.0,34.0,4.0,146,18,1.0,0.0,0.0,0.0
12109790447683052913900340121884828248,Lenin Nelson Campos Córdova,San Luis Potosí ,lenin.campos@diputados.gob.mx ,PRI,Licenciatura,45.0,9.0,2.0,0.0,8.0,0.0,61,10,6.0,1.0,0.0,0.0
282699695281355927075651594191339553840,Ignacio Benjamín Campos Equihua,Michoacán ,ignacio.campos@diputados.gob.mx ,Morena,Maestría,5.0,1.0,1.0,0.0,27.0,14.0,37,16,4.0,1.0,0.0,0.0
20619116751402192952669515788566703252,Susana Cano González,México ,susana.cano@diputados.gob.mx ,Morena,Bachillerato,12.0,2.0,1.0,0.0,27.0,14.0,42,16,2.0,0.0,0.0,0.0
74567907319736769955680999145289133564,Juan José Canul Pérez,Yucatán ,juan.canul@diputados.gob.mx ,PRI,Sin estudios registrados,40.0,8.0,4.0,2.0,9.0,0.0,55,10,2.0,0.0,0.0,0.0
297021074564609590558508676170307547243,Marco Antonio Carbajal Miranda,Sonora ,marco.carbajal@diputados.gob.mx ,Morena,Bachillerato,7.0,2.0,3.0,0.0,27.0,14.0,46,17,9.0,1.0,0.0,0.0
293448254171511271312646990704150145476,Julio Carranza Aréas,Veracruz ,julio.carranza@diputados.gob.mx ,Morena,Licenciatura,6.0,0.0,2.0,1.0,27.0,14.0,37,16,2.0,1.0,0.0,0.0
87270774153866582700612388027576692216,Nelly Minerva Carrasco Godínez,México ,nelly.carrasco@diputados.gob.mx ,Morena,Licenciatura,39.0,6.0,1.0,0.0,27.0,14.0,71,20,4.0,0.0,0.0,0.0
183228299038385796698844586540729211226,Olegaria Carrazco Macías,Sinaloa ,olegaria.carrazco@diputados.gob.mx ,Morena,Posgrado,19.0,4.0,2.0,0.0,27.0,14.0,48,18,0.0,0.0,0.0,0.0
108801802523588231126882513902715617381,Carlos Carreón Mejía,Tlaxcala ,carlos.carreon@diputados.gob.mx ,PAN,Licenciatura,98.0,12.0,10.0,1.0,37.0,4.0,149,17,4.0,0.0,0.0,0.0
182807231036224828218456645151499545783,Juana Carrillo Luna,México ,juana.carrillo@diputados.gob.mx ,Morena,Licenciatura,11.0,2.0,1.0,0.0,27.0,14.0,43,17,4.0,1.0,0.0,0.0
103999402253078603172369905710680545880,Alejandro Carvajal Hidalgo,Puebla ,alejandro.carvajal@diputados.gob.mx ,Morena,Sin estudios registrados,1.0,0.0,1.0,0.0,27.0,14.0,48,17,19.0,3.0,0.0,0.0
224424717739655116786360323456794201460,María Guadalupe Edith Castañeda Ortiz,México ,edith.castaneda@diputados.gob.mx ,Morena,Doctorado,38.0,4.0,1.0,0.0,27.0,14.0,79,19,13.0,1.0,0.0,0.0
90758276504085213772238474434012465733,Javier Julián Castañeda Pomposo,Baja California ,javier.castaneda@diputados.gob.mx ,Morena,Licenciatura,11.0,1.0,0.0,0.0,6.0,1.0,24,2,7.0,0.0,0.0,0.0
335579487505671273941168659001254631992,Carlos Humberto Castaños Valenzuela,Sinaloa ,carlos.castanos@diputados.gob.mx ,PAN,Licenciatura,117.0,14.0,11.0,1.0,39.0,4.0,178,20,11.0,1.0,0.0,0.0
148251254922111547035566068380657133345,Katia Alejandra Castillo Lozano,Jalisco ,katia.castillo@diputados.gob.mx ,Morena,Bachillerato,1.0,0.0,11.0,4.0,27.0,14.0,43,20,4.0,2.0,0.0,0.0
45280562820285109432951071186687607443,Rubén Cayetano García,Guerrero ,ruben.cayetano@diputados.gob.mx ,Morena,Licenciatura,13.0,1.0,1.0,0.0,27.0,14.0,60,18,19.0,3.0,0.0,0.0
17590480271785236678468581724344088418,Martina Cazarez Yañez,San Luis Potosí ,martina.cazarez@diputados.gob.mx ,Morena,Sin estudios registrados,2.0,0.0,0.0,0.0,27.0,14.0,29,14,0.0,0.0,0.0,0.0
209112353608687269362617723401552160709,Ana Alicia Cervantes Contreras,Sinaloa ,anaalicia.cervantes@diputados.gob.mx ,Morena,Sin estudios registrados,0.0,0.0,1.0,1.0,0.0,0.0,3,1,2.0,0.0,0.0,0.0
228543228551878251621281262175000781135,Jacobo David Cheja Alfaro,México ,jacobo.cheja@diputados.gob.mx ,MC,Licenciatura,34.0,7.0,6.0,0.0,28.0,2.0,74,9,6.0,0.0,0.0,0.0
228333637907890727628188447992064852575,Miguel Ángel Chico Herrera,Guanajuato ,miguel.chico@diputados.gob.mx ,Morena,Licenciatura,12.0,1.0,3.0,0.0,16.0,11.0,33,14,2.0,2.0,0.0,0.0
280437617823279561364476249034827144320,María Chávez Pérez,Michoacán ,mchavez.perez@diputados.gob.mx ,Morena,Maestría,6.0,1.0,2.0,1.0,27.0,14.0,47,21,12.0,5.0,0.0,0.0
246790281848041450820585779074294212544,Carlos Elhier Cinta Rodríguez,Guanajuato ,carlos.cinta@diputados.gob.mx ,PAN,Sin estudios registrados,19.0,3.0,9.0,1.0,8.0,1.0,44,6,8.0,1.0,0.0,0.0
297837075235324983480529156166755418103,Armando Contreras Castillo,Oaxaca ,acontreras.castillo@diputados.gob.mx ,Morena,Licenciatura,6.0,1.0,4.0,1.0,27.0,14.0,60,25,23.0,9.0,0.0,0.0
327283401444977917469009414009698583015,Lourdes Celenia Contreras González,Jalisco ,lourdes.contreras@diputados.gob.mx ,MC,Licenciatura,30.0,6.0,4.0,0.0,31.0,3.0,85,11,20.0,2.0,0.0,0.0
195253312445462371041017122734184485258,Gustavo Contreras Montes,México ,gustavo.contreras@diputados.gob.mx ,Morena,Licenciatura,13.0,5.0,0.0,0.0,27.0,14.0,42,19,2.0,0.0,0.0,0.0
218798225071740228526124810410051660645,Jorge Francisco Corona Méndez,Quintana Roo ,jorge.corona@diputados.gob.mx ,Partido Verde,Sin estudios registrados,2.0,0.0,71.0,15.0,1.0,0.0,74,15,0.0,0.0,0.0,0.0
108703704646294516123495512791879640020,Héctor René Cruz Aparicio,Baja California ,hector.cruz@diputados.gob.mx ,Sin Partido,Maestría,17.0,2.0,4.0,2.0,10.0,1.0,40,5,9.0,0.0,0.0,0.0
105622211845553102887638423419659572081,Flora Tania Cruz Santos,Veracruz ,flora.cruz@diputados.gob.mx ,Morena,Maestría,17.0,2.0,1.0,0.0,27.0,14.0,62,19,17.0,3.0,0.0,0.0
112516213614889089544431341979617418872,Susana Beatriz Cuaxiloa Serrano,Puebla ,susana.cuaxiloa@diputados.gob.mx ,Morena,Licenciatura,20.0,3.0,0.0,0.0,27.0,14.0,65,19,18.0,2.0,0.0,0.0
77991656766066422526158959938347554666,Gabriela Cuevas Barron,Ciudad de México ,gabriela.cuevas@diputados.gob.mx ,Morena,Sin estudios registrados,0.0,0.0,0.0,0.0,27.0,14.0,28,14,1.0,0.0,0.0,0.0
15854386987183613030156850034009907858,Luis Eleusis Leónidas Córdova Morán,Puebla ,eleusis.cordova@diputados.gob.mx ,PRI,Maestría,61.0,15.0,1.0,0.0,8.0,0.0,79,16,9.0,1.0,0.0,0.0
324491357818361874018836244721395589751,Lucio De Jesús Jiménez,Ciudad de México ,lucio.dejesus@diputados.gob.mx ,Morena,Secundaria,6.0,1.0,1.0,0.0,27.0,14.0,35,16,1.0,1.0,0.0,0.0
109059362398408607577812190180693490250,Patricia Del Carmen De La Cruz Delucio,Chiapas ,patricia.delacruz@diputados.gob.mx ,Morena,Primaria,8.0,0.0,1.0,0.0,27.0,14.0,39,16,3.0,2.0,0.0,0.0
43907750362864020368304125085430945309,Ricardo De la Peña Marshall,Tabasco ,ricardo.delapena@diputados.gob.mx ,Sin Partido,Maestría,14.0,3.0,0.0,0.0,10.0,1.0,68,12,44.0,8.0,0.0,0.0
290974322961316484941437956599967203994,Clementina Marta Dekker Gómez,Chiapas ,clementina.dekker@diputados.gob.mx ,PT,Licenciatura,9.0,2.0,15.0,5.0,21.0,2.0,56,10,11.0,1.0,0.0,0.0
114968602212555810564272035912826706007,Diego Eduardo Del Bosque Villarreal,Coahuila ,diego.delbosque@diputados.gob.mx ,Morena,Sin estudios registrados,4.0,0.0,1.0,0.0,27.0,14.0,46,16,14.0,2.0,0.0,0.0
172622867443404347081040280260478224062,Erika Vanessa Del Castillo Ibarra,Ciudad de México ,erika.delcastillo@diputados.gob.mx ,Morena,Licenciatura,21.0,3.0,1.0,0.0,27.0,14.0,57,19,8.0,2.0,0.0,0.0
257910149718756780271553699147750082057,Higinio Del Toro Pérez,Jalisco ,higinio.deltoro@diputados.gob.mx ,MC,Maestría,18.0,3.0,1.0,0.0,4.0,1.0,89,11,66.0,7.0,0.0,0.0
254796468945452993326868226038205895182,José Ricardo Delsol Estrada,San Luis Potosí ,josericardo.delsol@diputados.gob.mx ,Morena,Sin estudios registrados,0.0,0.0,3.0,2.0,27.0,14.0,35,16,5.0,0.0,0.0,0.0
245099979886575517009845602290081881221,María Elizabeth Diaz García,México ,maria.diaz@diputados.gob.mx ,Morena,Sin estudios registrados,8.0,1.0,10.0,4.0,27.0,14.0,54,19,9.0,0.0,0.0,0.0
145184758774584417117205777671880583783,Rosalinda Domínguez Flores,Oaxaca ,rosalinda.dominguez@diputados.gob.mx ,Morena,Sin estudios registrados,2.0,0.0,1.0,0.0,27.0,14.0,34,15,4.0,1.0,0.0,0.0
312605335195197801008714671721802546288,Roberto Ángel Domínguez Rodríguez,México ,roberto.dominguez@diputados.gob.mx ,Morena,Sin estudios registrados,5.0,1.0,3.0,1.0,27.0,14.0,36,16,1.0,0.0,0.0,0.0
250520513257678331100500011411005481909,Claudia Angélica Domínguez Vázquez,México ,claudia.dominguez@diputados.gob.mx ,PT,Licenciatura,36.0,6.0,2.0,0.0,21.0,2.0,83,9,24.0,1.0,0.0,0.0
